X,Y,NUME,JUDET,PRESCURTARE_JUDET
23.57,46.07,Alba Iulia,Alba,AB
23.37,45.84,Cugir,Alba,AB
23.72,46.31,Aiud,Alba,AB
23.57,45.96,Sebes,Alba,AB
23.92,46.18,Blaj,Alba,AB
23.85,46.39,Ocna Mures,Alba,AB
23.68,46.21,Teius,Alba,AB
23.05,46.37,Campeni,Alba,AB
23.07,46.27,Abrud,Alba,AB
23.22,46.11,Zlatna,Alba,AB
23.56,45.92,Petresti,Alba,AB
23.81,46.4,Unirea,Alba,AB
23.28,46.38,Baia de Aries,Alba,AB
23.67,46.01,Daia Romana,Alba,AB
23.49,45.99,Vintu de Jos,Alba,AB
23.35,45.89,Vinerea,Alba,AB
23.73,46.16,Mihalt,Alba,AB
23.69,46.32,Aiudul de Sus,Alba,AB
23.84,46.19,Bucerdea Granoasa,Alba,AB
23.58,46.1,Barabant,Alba,AB
23.91,46.43,Lunca Muresului,Alba,AB
23.9,46.17,Izvoarele,Alba,AB
24.17,46.25,Cetatea de Balta,Alba,AB
23.84,46.17,Craciunelu de Jos,Alba,AB
23.62,46.18,Galda de Jos,Alba,AB
23.54,46.13,Sard,Alba,AB
24.05,46.13,Valea Lunga,Alba,AB
23.59,46.02,Oarda,Alba,AB
23.89,46.16,Tiur,Alba,AB
23.95,46.2,Sancel,Alba,AB
23.48,45.9,Pianu de Sus,Alba,AB
23.1,46.38,Bistra,Alba,AB
23.92,46.17,Veza,Alba,AB
23.13,46.31,Rosia Montana,Alba,AB
23.87,46.41,Razboieni-Cetate,Alba,AB
23.58,45.88,Sasciori,Alba,AB
23.76,46.31,Ciumbrud,Alba,AB
23.56,45.99,Lancram,Alba,AB
24.06,46.25,Sanmiclaus,Alba,AB
23.72,45.86,Garbova,Alba,AB
23.64,46.22,Stremt,Alba,AB
23.56,46.1,Micesti,Alba,AB
23.88,46.39,Uioara de Sus,Alba,AB
24,46.23,Biia,Alba,AB
23.67,45.94,Cut,Alba,AB
23.06,46.28,Abrud-Sat,Alba,AB
23.84,46.37,Uioara de Jos,Alba,AB
23.34,45.94,Sibot,Alba,AB
23.63,45.78,Sugag,Alba,AB
23.4,45.91,Salistea,Alba,AB
24.11,46.22,Jidvei,Alba,AB
23.5,46.16,Telna,Alba,AB
23.66,45.89,Calnic,Alba,AB
23.57,46.18,Cricau,Alba,AB
23.52,46.15,Ighiu,Alba,AB
23.3,46.1,Fenes,Alba,AB
23.65,46.14,Santimbru,Alba,AB
23.49,45.94,Pianu de Jos,Alba,AB
23.82,46.29,Lopadea Noua,Alba,AB
24.06,46.19,Balcaciu,Alba,AB
24.01,46.06,Cenade,Alba,AB
23.64,45.77,Dobra,Alba,AB
23.57,45.89,Sebesel,Alba,AB
23.53,46.16,Bucerdea Vanoasa,Alba,AB
23.48,46.15,Ighiel,Alba,AB
24.14,46.27,Veseus,Alba,AB
23.92,46.1,Cergau Mare,Alba,AB
24.14,46.23,Feisa,Alba,AB
23.75,46.29,Sancrai,Alba,AB
24.02,46.22,Sona,Alba,AB
23.6,45.85,Capalna,Alba,AB
23.71,46.37,Miraslau,Alba,AB
23.62,45.9,Rahau,Alba,AB
24.11,46.24,Capalna de Jos,Alba,AB
23.59,46.25,Geoagiu de Sus,Alba,AB
23.13,46.1,Almasu Mare,Alba,AB
23.63,46.16,Oiejdea,Alba,AB
23.93,46.41,Noslac,Alba,AB
23.97,46.14,Manarade,Alba,AB
23.89,46.06,Rosia de Secas,Alba,AB
23.64,46.35,Livezile,Alba,AB
23.77,46.17,Obreja,Alba,AB
22.88,46.46,Scarisoara,Alba,AB
24.17,46.2,Tatarlaua,Alba,AB
23.21,46.37,Lupsa,Alba,AB
23.56,46.42,Coltesti,Alba,AB
23.86,46.28,Ciuguzel,Alba,AB
23.41,45.93,Tartaria,Alba,AB
23.52,45.88,Rachita,Alba,AB
23.23,46.38,Valea Lupsii,Alba,AB
24.01,46.34,Farau,Alba,AB
23.76,46.38,Decea,Alba,AB
23.72,46.27,Radesti,Alba,AB
23.96,46.22,Panade,Alba,AB
23.79,46.07,Ohaba,Alba,AB
23.45,46.12,Ampoita,Alba,AB
23.72,46.03,Ghirbom,Alba,AB
23.75,46.01,Vingard,Alba,AB
23.42,46.4,Salciua de Jos,Alba,AB
23.52,46.05,Paclisa,Alba,AB
23.39,45.98,Blandiana,Alba,AB
23.75,46.19,Cistei,Alba,AB
23.74,46.08,Berghin,Alba,AB
23.81,46.38,Cisteiu de Mures,Alba,AB
23.57,46.45,Rametea,Alba,AB
23.36,45.94,Balomiru de Camp,Alba,AB
23.47,46.1,Tauti,Alba,AB
23.65,46.34,Magina,Alba,AB
23.4,46.39,Salciua de Sus,Alba,AB
23.79,46.31,Bagau,Alba,AB
23.84,45.97,Dostat,Alba,AB
23.03,46.26,Ciuruleasa,Alba,AB
23.55,45.86,Loman,Alba,AB
23.78,45.97,Spring,Alba,AB
23.63,46.06,Seusa,Alba,AB
23.72,45.93,Cunta,Alba,AB
23.15,46.15,Trampoiele,Alba,AB
23.17,46.36,Musca,Alba,AB
23.84,46.07,Tau,Alba,AB
23.72,46.35,Gambas,Alba,AB
23.74,45.94,Drasov,Alba,AB
23.66,46.11,Totoi,Alba,AB
23.59,46.24,Cetea,Alba,AB
24.07,46.11,Lunca,Alba,AB
23.82,46.25,Beta,Alba,AB
23.46,46.02,Valea Vintului,Alba,AB
23.96,46.43,Gura Ariesului,Alba,AB
23.44,46.43,Posaga de Jos,Alba,AB
23.59,45.79,Martinie,Alba,AB
22.97,46.45,Albac,Alba,AB
23.47,46.48,Ocolis,Alba,AB
23.28,46.08,Valea Mica,Alba,AB
23.63,45.86,Deal,Alba,AB
23.61,46.36,Poiana Aiudului,Alba,AB
23.59,46.21,Benic,Alba,AB
23.67,46.08,Hapria,Alba,AB
23.36,45.97,Acmariu,Alba,AB
23.73,46.11,Henig,Alba,AB
24.13,46.15,Tauni,Alba,AB
23.3,46.39,Sartas,Alba,AB
24.11,46.33,Silea,Alba,AB
23.17,46.15,Izvoru Ampoiului,Alba,AB
23.62,46.26,Geomal,Alba,AB
23.56,46.22,Galda de Sus,Alba,AB
23.58,45.87,Laz,Alba,AB
23.29,46.09,Galati,Alba,AB
23.67,46.26,Garbova de Jos,Alba,AB
22.9,46.51,Matisesti,Alba,AB
23.33,46.1,Presaca Ampoiului,Alba,AB
23.47,46,Vurpar,Alba,AB
23.99,46.22,Lunca Tarnavei,Alba,AB
23.6,45.74,Arti,Alba,AB
23.94,46.21,Iclod,Alba,AB
